"","ResponseID","condition","dis","accuracy"
"455","W59","Sans Forgetica","disfluent",0.4
"456","W59","Sans Forgetica","fluent",0.25
"457","W6","Sans Forgetica","disfluent",0.7
"458","W6","Sans Forgetica","fluent",0.666666666666667
"459","W7","Sans Forgetica","disfluent",0.666666666666667
"460","W7","Sans Forgetica","fluent",0.1875
"461","W8","Sans Forgetica","disfluent",0.7
"462","W8","Sans Forgetica","fluent",0.583333333333333
"463","W9","Sans Forgetica","disfluent",0.5
"464","W9","Sans Forgetica","fluent",0.416666666666667
