"","cue","target","cond","ResponseID","Finished","Progress","question","answer","condition","dis","acc"
"181","child","mother","flu","E4",TRUE,100,"Q437","mother","Generate","fluent",1
"182","child","mother","flu","E38",TRUE,100,"Q437","mother","Generate","fluent",1
"183","child","mother","flu","E31",TRUE,100,"Q437","parent","Generate","fluent",0
"184","child","mother","flu","E15",TRUE,100,"Q437","mother","Generate","fluent",1
"185","child","mother","flu","E42",TRUE,100,"Q437","Mother","Generate","fluent",0
"186","child","mother","flu","E59",TRUE,100,"Q437","adult","Generate","fluent",0
"187","child","mother","flu","E5",TRUE,100,"Q437","mother","Generate","fluent",1
"188","child","mother","flu","E27",TRUE,100,"Q437","mother","Generate","fluent",1
"189","child","mother","flu","E6",TRUE,100,"Q437","0","Generate","fluent",0
"190","child","mother","flu","E45",TRUE,100,"Q437","parent","Generate","fluent",0
"191","child","mother","flu","E14",TRUE,100,"Q437","0","Generate","fluent",0
"192","child","mother","flu","E25",TRUE,100,"Q437","Baby","Generate","fluent",0
"193","child","mother","flu","E53",TRUE,100,"Q437","0","Generate","fluent",0
"194","child","mother","flu","E16",TRUE,100,"Q437","care","Generate","fluent",0
"195","child","mother","flu","E33",TRUE,100,"Q437","0","Generate","fluent",0
"196","child","mother","flu","E20",TRUE,100,"Q437","mother","Generate","fluent",1
"197","child","mother","flu","E12",TRUE,100,"Q437","adult","Generate","fluent",0
"198","child","mother","flu","E7",TRUE,100,"Q437","mother","Generate","fluent",1
"199","child","mother","flu","E54",TRUE,100,"Q437","adult","Generate","fluent",0
"200","child","mother","flu","E37",TRUE,100,"Q437","mother","Generate","fluent",1
"201","child","mother","flu","E18",TRUE,100,"Q437","mother","Generate","fluent",1
"202","child","mother","flu","E43",TRUE,100,"Q437","school","Generate","fluent",0
"203","child","mother","flu","E34",TRUE,100,"Q437","young","Generate","fluent",0
"204","child","mother","flu","E41",TRUE,100,"Q437","play","Generate","fluent",0
"205","child","mother","flu","E17",TRUE,100,"Q437","parent","Generate","fluent",0
"206","child","mother","flu","E55",TRUE,100,"Q437","mother","Generate","fluent",1
"207","child","mother","flu","E56",TRUE,100,"Q437","mother","Generate","fluent",1
"208","child","mother","flu","E22",TRUE,100,"Q437","mother","Generate","fluent",1
"209","child","mother","flu","E51",TRUE,100,"Q437","parent","Generate","fluent",0
"210","child","mother","flu","E26",TRUE,100,"Q437","mother","Generate","fluent",1
"211","child","mother","flu","E36",TRUE,100,"Q437","parent","Generate","fluent",0
"212","child","mother","flu","E3",TRUE,100,"Q437","kid","Generate","fluent",0
"213","child","mother","flu","E58",TRUE,100,"Q437","birth","Generate","fluent",0
"214","child","mother","flu","E10",TRUE,100,"Q437","mother","Generate","fluent",1
"215","child","mother","flu","E57",TRUE,100,"Q437","mother","Generate","fluent",1
"216","child","mother","flu","E11",TRUE,100,"Q437","0","Generate","fluent",0
"217","child","mother","flu","E50",TRUE,100,"Q437","0","Generate","fluent",0
"218","child","mother","flu","E21",TRUE,100,"Q437","0","Generate","fluent",0
"219","child","mother","flu","E30",TRUE,100,"Q437","mother","Generate","fluent",1
"220","child","mother","flu","E28",TRUE,100,"Q437","mother","Generate","fluent",1
"221","child","mother","flu","E44",TRUE,100,"Q437","mother","Generate","fluent",1
"222","child","mother","flu","E48",TRUE,100,"Q437","mother","Generate","fluent",1
"223","child","mother","flu","E39",TRUE,100,"Q437","parent","Generate","fluent",0
"224","child","mother","flu","E9",TRUE,100,"Q437","kid","Generate","fluent",0
"225","child","mother","flu","E47",TRUE,100,"Q437","CARE","Generate","fluent",0
"226","child","mother","flu","E13",TRUE,100,"Q437","kid","Generate","fluent",0
"227","child","mother","flu","E46",TRUE,100,"Q437","mother","Generate","fluent",1
"228","child","mother","flu","E32",TRUE,100,"Q437","mother","Generate","fluent",1
"229","child","mother","flu","E23",TRUE,100,"Q437","mother","Generate","fluent",1
"230","child","mother","flu","E49",TRUE,100,"Q437","0","Generate","fluent",0
"231","child","mother","flu","E2",TRUE,100,"Q437","0","Generate","fluent",0
"232","child","mother","flu","E24",FALSE,99,"Q437","person","Generate","fluent",0
"233","factory","product","flu","E52",TRUE,100,"Q438","machine","Generate","fluent",0
"234","factory","product","flu","E29",TRUE,100,"Q438","product","Generate","fluent",1
"235","factory","product","flu","E19",TRUE,100,"Q438","building","Generate","fluent",0
"236","factory","product","flu","E40",TRUE,100,"Q438","place","Generate","fluent",0
"237","factory","product","flu","E35",TRUE,100,"Q438","worker","Generate","fluent",0
"238","factory","product","flu","E8",TRUE,100,"Q438","worker","Generate","fluent",0
"239","factory","product","flu","E4",TRUE,100,"Q438","products","Generate","fluent",0
"240","factory","product","flu","E38",TRUE,100,"Q438","product","Generate","fluent",1
"241","factory","product","flu","E31",TRUE,100,"Q438","worker","Generate","fluent",0
"242","factory","product","flu","E15",TRUE,100,"Q438","produced","Generate","fluent",0
"243","factory","product","flu","E42",TRUE,100,"Q438","Machine","Generate","fluent",0
"244","factory","product","flu","E59",TRUE,100,"Q438","work","Generate","fluent",0
"245","factory","product","flu","E5",TRUE,100,"Q438","machine","Generate","fluent",0
"246","factory","product","flu","E27",TRUE,100,"Q438","0","Generate","fluent",0
